"filename", "language", "Python", "JSON Lines", "JSON", "Markdown", "Ini", "JSON with Comments", "pip requirements", "comment", "blank", "total"
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\plan.md", "Markdown", 0, 0, 0, -74, 0, 0, 0, 0, -14, -88
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\decisions.md", "Markdown", 0, 0, 0, -15, 0, 0, 0, 0, -3, -18
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\design.md", "Markdown", 0, 0, 0, -116, 0, 0, 0, 0, -36, -152
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\phase_1_checklist.md", "Markdown", 0, 0, 0, -102, 0, 0, 0, 0, -26, -128
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\phase_2_checklist.md", "Markdown", 0, 0, 0, -61, 0, 0, 0, 0, -18, -79
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\phase_3_checklist.md", "Markdown", 0, 0, 0, -66, 0, 0, 0, 0, -22, -88
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\phase_4_checklist.md", "Markdown", 0, 0, 0, -78, 0, 0, 0, 0, -30, -108
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\phase_5_checklist.md", "Markdown", 0, 0, 0, -76, 0, 0, 0, 0, -26, -102
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\phase_6_checklist.md", "Markdown", 0, 0, 0, -125, 0, 0, 0, 0, -30, -155
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-38\plan.md", "Markdown", 0, 0, 0, -81, 0, 0, 0, 0, -16, -97
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-01 to PROJ-06\PROJ-01.md", "Markdown", 0, 0, 0, -496, 0, 0, 0, 0, -86, -582
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-01 to PROJ-06\PROJ-02.md", "Markdown", 0, 0, 0, -436, 0, 0, 0, 0, -83, -519
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-01 to PROJ-06\PROJ-03.md", "Markdown", 0, 0, 0, -465, 0, 0, 0, 0, -84, -549
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-01 to PROJ-06\PROJ-04.md", "Markdown", 0, 0, 0, -317, 0, 0, 0, 0, -57, -374
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-01 to PROJ-06\PROJ-05.md", "Markdown", 0, 0, 0, -266, 0, 0, 0, 0, -57, -323
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-01 to PROJ-06\PROJ-06.md", "Markdown", 0, 0, 0, -292, 0, 0, 0, 0, -55, -347
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\decisions.md", "Markdown", 0, 0, 0, -13, 0, 0, 0, 0, -3, -16
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\design.md", "Markdown", 0, 0, 0, -47, 0, 0, 0, 0, -13, -60
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\phase_1_checklist.md", "Markdown", 0, 0, 0, -24, 0, 0, 0, 0, -10, -34
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\phase_2_checklist.md", "Markdown", 0, 0, 0, -23, 0, 0, 0, 0, -10, -33
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\phase_3_checklist.md", "Markdown", 0, 0, 0, -39, 0, 0, 0, 0, -16, -55
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\phase_4_checklist.md", "Markdown", 0, 0, 0, -20, 0, 0, 0, 0, -10, -30
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\phase_5_checklist.md", "Markdown", 0, 0, 0, -26, 0, 0, 0, 0, -13, -39
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\phase_6_checklist.md", "Markdown", 0, 0, 0, -30, 0, 0, 0, 0, -16, -46
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-07\plan.md", "Markdown", 0, 0, 0, -49, 0, 0, 0, 0, -11, -60
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\PROJ-08-TEST-PLAN.md", "Markdown", 0, 0, 0, -801, 0, 0, 0, 0, -211, -1012
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\decisions.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, -3, -15
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\design.md", "Markdown", 0, 0, 0, -31, 0, 0, 0, 0, -8, -39
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\phase_1_checklist.md", "Markdown", 0, 0, 0, -40, 0, 0, 0, 0, -19, -59
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\phase_2_checklist.md", "Markdown", 0, 0, 0, -48, 0, 0, 0, 0, -25, -73
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\phase_3_checklist.md", "Markdown", 0, 0, 0, -48, 0, 0, 0, 0, -25, -73
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\phase_4_checklist.md", "Markdown", 0, 0, 0, -35, 0, 0, 0, 0, -16, -51
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\phase_5_checklist.md", "Markdown", 0, 0, 0, -36, 0, 0, 0, 0, -19, -55
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\phase_6_checklist.md", "Markdown", 0, 0, 0, -30, 0, 0, 0, 0, -13, -43
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\phase_7_checklist.md", "Markdown", 0, 0, 0, -48, 0, 0, 0, 0, -19, -67
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-08\plan.md", "Markdown", 0, 0, 0, -70, 0, 0, 0, 0, -13, -83
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-09\plan.md", "Markdown", 0, 0, 0, -554, 0, 0, 0, 0, -89, -643
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-10\decisions.md", "Markdown", 0, 0, 0, -29, 0, 0, 0, 0, -4, -33
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-10\design.md", "Markdown", 0, 0, 0, -81, 0, 0, 0, 0, -14, -95
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-10\phase_1_checklist.md", "Markdown", 0, 0, 0, -55, 0, 0, 0, 0, -13, -68
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-10\phase_2_checklist.md", "Markdown", 0, 0, 0, -66, 0, 0, 0, 0, -15, -81
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-10\phase_3_checklist.md", "Markdown", 0, 0, 0, -58, 0, 0, 0, 0, -17, -75
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-10\phase_4_checklist.md", "Markdown", 0, 0, 0, -47, 0, 0, 0, 0, -13, -60
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-10\plan.md", "Markdown", 0, 0, 0, -71, 0, 0, 0, 0, -20, -91
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-11\decisions.md", "Markdown", 0, 0, 0, -44, 0, 0, 0, 0, -5, -49
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-11\design.md", "Markdown", 0, 0, 0, -171, 0, 0, 0, 0, -42, -213
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-11\phase_1_checklist.md", "Markdown", 0, 0, 0, -37, 0, 0, 0, 0, -11, -48
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-11\phase_2_checklist.md", "Markdown", 0, 0, 0, -72, 0, 0, 0, 0, -15, -87
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-11\phase_3_checklist.md", "Markdown", 0, 0, 0, -70, 0, 0, 0, 0, -10, -80
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-11\phase_4_checklist.md", "Markdown", 0, 0, 0, -57, 0, 0, 0, 0, -11, -68
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-11\plan.md", "Markdown", 0, 0, 0, -127, 0, 0, 0, 0, -23, -150
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\decisions.md", "Markdown", 0, 0, 0, -49, 0, 0, 0, 0, -6, -55
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\design.md", "Markdown", 0, 0, 0, -185, 0, 0, 0, 0, -37, -222
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\phase_10_checklist.md", "Markdown", 0, 0, 0, -90, 0, 0, 0, 0, -26, -116
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\phase_1_checklist.md", "Markdown", 0, 0, 0, -56, 0, 0, 0, 0, -13, -69
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\phase_2_checklist.md", "Markdown", 0, 0, 0, -54, 0, 0, 0, 0, -13, -67
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\phase_3_checklist.md", "Markdown", 0, 0, 0, -76, 0, 0, 0, 0, -15, -91
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\phase_4_checklist.md", "Markdown", 0, 0, 0, -120, 0, 0, 0, 0, -18, -138
"c:\Dev\Starship Battles\Projects\archived_projects\PROJ-12\phase_5_checklist.md", "Markdown", 0, 0, 0, -95, 0, 0, 0, 0, -16, -111
